G,F,E,D,C,B,A
4.23124152192407,0.780309467717684,4.73069566321714,2.15619918044502,0.645429861003741,3.78790916632293,2.96986969075046
0.636852892591956,2.02410947686671,2.09038694701648,2.15970294439256,3.50216862464111,2.55712423465523,3.13535419917314
2.98659369716396,0.456140327608142,0.779717590037518,3.52106810856911,2.73617701764927,3.31724970781546,2.81951324602856
0.0383445276831532,4.96384440030529,3.928005115311,2.24809236017523,3.1184392847143,2.99723728315745,4.47747271274353
0.161173513253219,0.377933864306105,0.603821209866247,0.664420504663138,3.29483089249602,4.21910883035456,0.200306361659624
2.68374734029147,0.670065008082273,0.310979225190654,4.08991373381416,3.71842660925838,2.72565380317398,3.63340795989051
4.71606987725806,0.183769129925759,2.89430385875611,3.00824877322618,0.508633565693179,4.88962842228492,4.28123712940552
3.24888300835112,3.96360535360194,2.48093370626606,2.34235998661426,2.14836463696148,2.5151469961482,2.67994042306975
3.60318911935216,0.615454490674106,0.352872865520082,2.53777238340658,3.79748420242592,4.31656954057904,2.06830002002692
0.782189895870483,4.46595182056467,4.62348296836604,2.39439082514687,4.97268447657448,3.54030006599917,2.15742724666285
3.1161816345931,0.161689163310151,0.573136872436236,4.74620794347037,4.6926530713641,4.77455269246635,3.75780080931984
0.769029871756309,0.477385777102923,0.084032554055364,0.540879949315043,2.84542527835856,2.01671278592384,3.40046446230973
2.70157004677906,2.32065958759464,3.10111309347653,4.28737080579977,3.85895510104401,4.71480926375419,2.18698641232838
2.30703058155781,3.03283322622394,2.38425241600027,3.17706474297396,4.15283787733593,4.73907948870933,4.23242150469385
2.16554632990741,2.6060779001275,4.48085712989322,4.64036644665052,2.91077436368763,0.280001838168012,2.22692011380599
4.61861574312049,0.489396850734198,0.513868495885287,2.06166314967341,3.22603482942816,3.35913582205919,4.57759852000702
2.51890972663577,0.35905660421372,0.100343211742941,4.17496661868531,3.5893632461289,2.53777512201171,3.04790874101179
0.449707410690661,3.9531287255822,3.907163065891,2.9330874784953,2.23077270363754,3.12164567577222,4.05207358435236
3.61685500633075,3.49599719166096,3.24638326578248,4.31416855158346,2.77057299208049,0.676981164974089,3.66798912152312
4.93617249179044,3.56205365544537,4.47017045459649,2.65710693856219,2.07727530570979,2.08570901821214,3.3064780214918
0.520411669981792,0.692995015718318,0.0904599104402209,0.221175916350131,4.34567670096271,3.90482396621683,4.38036691683662
2.50198930213149,0.439350927051998,2.48548207218913,4.46270844985632,0.437979299603599,2.97579370472236,2.42779734998041
3.78729065485846,3.5872590456121,4.24089133299596,2.382695262944,2.071935440318,4.03399796989319,3.65901713578632
4.25409715061206,0.399256471630415,0.536668335541948,2.63929075913689,4.33597200988753,4.61723232413945,2.72308679123523
2.23966115782501,0.340319252179345,0.142008903254205,4.29776269962759,2.41476891805311,4.34482227663319,2.79508301655707
3.35818167281728,2.70218907286185,0.614127590509417,0.115279267286943,4.96631922876502,4.25840536097833,0.440735465671759
0.224953481291687,0.0591578948752182,0.602966424751168,0.273830529503537,3.02499171823299,2.70892869288254,3.53893831450574
4.37548219546432,0.296098073342247,0.256496014626179,3.67077043525829,2.63783455542215,4.59330153645447,4.31192921131229
4.16533651985667,0.0833241329733697,0.460983033701413,3.19123999431917,2.30936398872115,2.4013932066791,4.80556371212667
0.762151957713143,0.456854414744083,0.519661109555184,0.136257880039196,3.25290168892076,2.23282176220286,2.58650027855
0.53912209699852,0.515996288930497,0.651057041400337,0.768716017553914,2.72808019324538,4.34333783654841,0.110625704423133
4.03569383879255,0.616547987468346,0.169158392547454,3.70591225387222,4.75025699150269,2.53282853433657,4.19112106402824
4.30006788404007,2.77679872909223,0.544231745947496,2.73675978224,2.08164476402139,0.617392969782582,3.18346143286821
0.536778316159622,0.509702852511873,0.660083560951008,0.168740777253558,3.16905867257389,2.68530733190382,4.19607724121355
3.74630756886242,0.157777996588615,0.337364686319332,3.28814642797417,2.93778814300127,2.44734582820306,3.41910342836143
3.12469083065277,4.03672003197855,3.61449297908094,2.08120948905351,4.03786575981977,0.430672929666643,3.47033729206726
3.34128041389553,0.602692721115502,0.400020475964477,3.82931560737046,3.5671074849897,3.12630353213998,4.73393711196318
2.84127902262185,0.443598926340321,0.416257022910253,3.50416115387753,2.56896409561133,4.24419356302683,2.91219787523729
